"category_id","name","url","parent","weight","count","created_on"
129,"Dụng cụ leo núi","https://tiki.vn/dung-cu-leo-nui/c24258?src=tree",12,"0.7",734,"2019-07-29 22:50:08.364176"
130,"Đồ dùng dã ngoại","https://tiki.vn/do-dung-da-ngoai/c8428?src=tree",12,"0.7",2053,"2019-07-29 22:50:08.384418"
131,"Dụng cụ câu cá","https://tiki.vn/dung-cu-cau-ca/c24294?src=tree",12,"0.7",801,"2019-07-29 22:50:08.404002"
132,"Phụ kiện thể thao","https://tiki.vn/phu-kien-the-thao/c24306?src=tree",12,"0.7",977,"2019-07-29 22:50:08.424493"
133,"Thể thao dưới nước","https://tiki.vn/the-thao-duoi-nuoc/c8413?src=tree",12,"0.7",1134,"2019-07-29 22:50:08.44327"
134,"Thực phẩm bổ sung năng lượng","https://tiki.vn/thuc-pham-bo-sung-nang-luong/c10803?src=tree",12,"0.7",372,"2019-07-29 22:50:08.463218"
135,"Xe máy","https://tiki.vn/xe-may/c8597?src=tree",13,"0.7",1146,"2019-07-29 22:50:08.903928"
136,"Xe điện","https://tiki.vn/xe-dien/c6070?src=tree",13,"0.7",206,"2019-07-29 22:50:08.924912"
137,"Xe đạp","https://tiki.vn/xe-dap/c8431?src=tree",13,"0.7",344,"2019-07-29 22:50:08.945071"
138,"Xe Scooter","https://tiki.vn/xe-scooter/c8435?src=tree",13,"0.7",10,"2019-07-29 22:50:08.96421"
139,"Dịch vụ, lắp đặt","https://tiki.vn/dich-vu-lap-dat/c17208?src=tree",13,"0.7",100,"2019-07-29 22:50:08.982976"
140,"Phụ kiện - Chăm sóc xe","https://tiki.vn/phu-kien-cham-soc-xe/c24832?src=tree",13,"0.7",12891,"2019-07-29 22:50:09.002484"
141,"Bách hóa online","https://tiki.vn/bach-hoa-online/c20766?src=tree",14,"0.05",2872,"2019-07-29 22:50:09.491307"
142,"Điện gia dụng","https://tiki.vn/dien-gia-dung/c20824?src=tree",14,"0.05",2924,"2019-07-29 22:50:09.545061"
143,"Làm Đẹp - Sức Khỏe","https://tiki.vn/lam-dep-suc-khoe/c20908?src=tree",14,"0.05",11494,"2019-07-29 22:50:09.564214"
144,"Điện Thoại - Máy Tính Bảng","https://tiki.vn/dien-thoai-may-tinh-bang/c21054?src=tree",14,"0.05",398,"2019-07-29 22:50:09.583858"
145,"Laptop & Máy Vi Tính","https://tiki.vn/laptop-may-vi-tinh/c21074?src=tree",14,"0.05",4215,"2019-07-29 22:50:09.60847"
146,"Máy Ảnh - Máy Quay Phim","https://tiki.vn/may-anh-may-quay-phim/c21134?src=tree",14,"0.05",5781,"2019-07-29 22:50:09.628748"
147,"Mẹ & Bé","https://tiki.vn/me-be/c21166?src=tree",14,"0.05",7277,"2019-07-29 22:50:09.647862"
148,"Nhà Cửa - Đời Sống","https://tiki.vn/nha-cua-doi-song/c21268?src=tree",14,"0.05",40951,"2019-07-29 22:50:09.666698"
149,"Sách, Văn phòng phẩm & Quà lưu niệm","https://tiki.vn/sach-van-phong-pham-qua-luu-niem/c21298?src=tree",14,"0.05",17012,"2019-07-29 22:50:09.686118"
150,"Ô tô, xe máy, xe đạp","https://tiki.vn/o-to-xe-may-xe-dap/c21346?src=tree",14,"0.05",8672,"2019-07-29 22:50:09.706844"
151,"Thể thao - Dã ngoại","https://tiki.vn/the-thao-da-ngoai/c21356?src=tree",14,"0.05",8680,"2019-07-29 22:50:09.770312"
152,"Thiết Bị Số - Phụ Kiện Số","https://tiki.vn/thiet-bi-so-phu-kien-so/c21382?src=tree",14,"0.05",19503,"2019-07-29 22:50:09.79048"
153,"Thời Trang","https://tiki.vn/thoi-trang/c21442?src=tree",14,"0.05",15205,"2019-07-29 22:50:09.81036"
154,"Tivi & Thiết Bị Nghe Nhìn","https://tiki.vn/tivi-thiet-bi-nghe-nhin/c21496?src=tree",14,"0.05",743,"2019-07-29 22:50:09.83141"
155,"Sản phẩm - thiết bị công nghiệp","https://tiki.vn/san-pham-thiet-bi-cong-nghiep/c25036?src=tree",14,"0.05",31,"2019-07-29 22:50:09.892798"
156,"Artist Collection","https://tiki.vn/artist-collection/c27468?src=tree",14,"0.05",218,"2019-07-29 22:50:09.933765"
157,"English Books","https://tiki.vn/sach-tieng-anh/c320?src=tree",15,"0.05",13753,"2019-07-29 22:50:11.182358"
158,"Sách tiếng Việt","https://tiki.vn/sach-truyen-tieng-viet/c316?src=tree",15,"0.05",53825,"2019-07-29 22:50:11.246461"
159,"Văn phòng phẩm","https://tiki.vn/van-phong-pham-qua-luu-niem/c7741?src=tree",15,"0.05",23526,"2019-07-29 22:50:11.265518"
160,"Quà lưu niệm","https://tiki.vn/qua-luu-niem/c18328?src=tree",15,"0.05",14579,"2019-07-29 22:50:11.285432"
161,"Nhà hàng - Ăn uống","https://tiki.vn/nha-hang-an-uong/c11313?src=tree",16,"0.7",151,"2019-07-29 22:50:11.891511"
162,"Du lịch - Khách sạn","https://tiki.vn/du-lich-khach-san/c11319?src=tree",16,"0.7",1250,"2019-07-29 22:50:11.911243"
163,"Spa & Làm đẹp","https://tiki.vn/spa-lam-dep/c11322?src=tree",16,"0.7",675,"2019-07-29 22:50:11.930909"
164,"Sự kiện - Giải trí","https://tiki.vn/su-kien-giai-tri/c11327?src=tree",16,"0.7",121,"2019-07-29 22:50:11.950804"
165,"Sự kiện - Thể thao","https://tiki.vn/su-kien-the-thao/c11333?src=tree",16,"0.7",78,"2019-07-29 22:50:11.969833"
166,"Nha khoa - Sức khỏe","https://tiki.vn/nha-khoa-suc-khoe/c11326?src=tree",16,"0.7",105,"2019-07-29 22:50:11.990083"
167,"Khóa học","https://tiki.vn/khoa-hoc/c11332?src=tree",16,"0.7",2055,"2019-07-29 22:50:12.00952"
168,"Dịch vụ khác","https://tiki.vn/dich-vu-khac/c11334?src=tree",16,"0.7",249,"2019-07-29 22:50:12.028791"
169,"Phiếu quà tặng","https://tiki.vn/phieu-qua-tang/c13744?src=tree",16,"0.7",13,"2019-07-29 22:50:12.048286"
